----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
     time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo 
03-03 21:57:54| 10   3  87   0   0| 344M   22G 2096k  744M| 104     0 |   0  1868k|   0  76.0 |1630  1033 |0.42 0.12 0.04|1.0   0   0|   0     0 |   0     0 |  3    3    0    3    0 
03-03 21:57:55|  9   3  87   0   0| 350M   22G 2096k  750M|  52     0 |  16k 7705k|1.00   317 |1612   864 |0.42 0.12 0.04|1.0   0   0|   0     0 |   0     0 |  3    3    0    3    0 
03-03 21:57:56|  5   3  92   0   0| 310M   22G 2096k  711M|  78k 7273 |  16k 3133k|1.00   118 |3120  1620 |0.42 0.12 0.04|  0   0  96|   0     0 |   0     0 |  3    1    0    3    0 
03-03 21:57:57|  0   0 100   0   0| 310M   22G 2096k  711M|5557  1461 |   0     0 |   0     0 | 461   128 |0.42 0.12 0.04|1.0   0   0|   0     0 |   0     0 |  3    2    0    3    0 
03-03 21:57:58|  5   1  94   0   0| 307M   22G 2096k  712M|  61k 5373 |1257k   42k|9.00  2.00 |2498  1380 |0.47 0.13 0.04|1.0   0 100|   0     0 |   0     0 |  3    1    0    3    0 
03-03 21:57:59|  4   1  94   0   0| 290M   22G 2096k  713M|  59k 5706 |   0    54k|   0  3.00 |2562  1379 |0.47 0.13 0.04|  0   0 109|   0     0 |   0     0 |  3    1    0    3    0 
03-03 21:58:00|  0   0  99   0   0| 291M   22G 2096k  713M|1195  1283 |   0     0 |   0     0 | 632   375 |0.47 0.13 0.04|  0   0  30|   0     0 |   0     0 |  3    1    0    3    0 
03-03 21:58:01|  4   2  94   0   0| 301M   22G 2096k  713M| 116k 8822 | 328k   36k|3.00  2.00 |3291  1736 |0.47 0.13 0.04|1.0   0 150|   0     0 |   0     0 |  3    2    0    4    0 
03-03 21:58:02|  0   1  99   0   0| 290M   22G 2096k  713M|1357  1339 |   0  9459k|   0   266 | 674   729 |0.47 0.13 0.04|  0   0  14|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:03|  0   1  99   0   0| 291M   22G 2096k  713M|  57k 3325 |   0     0 |   0     0 |1183   674 |0.51 0.15 0.05|  0   0  57|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:04| 10   1  88   1   0| 337M   22G 2096k  717M| 776   378 |5666k    0 | 531     0 |2714  1940 |0.51 0.15 0.05|1.0 1.0  25|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:05| 10  10  78   2   0| 295M   22G 2096k  741M| 762  1497 |  25M    0 |1301     0 |5491  3865 |0.51 0.15 0.05|  0   0  28|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:06|  3   1  96   0   0| 295M   22G 2096k  741M|  60k 7837 |  40k  702k|4.00  23.0 |2344  1378 |0.51 0.15 0.05|  0   0 107|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:07|  2   2  96   0   0| 295M   22G 2096k  741M|  58k 5104 |   0    11M|   0   160 |2290  1402 |0.51 0.15 0.05|  0   0  97|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:08|  5   2  93   0   0| 295M   22G 2096k  741M| 117k 9842 |   0   170k|   0  6.00 |3823  2116 |0.55 0.16 0.06|1.0   0 184|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:09|  2   1  97   0   0| 295M   22G 2096k  741M|  55k 5042 |   0    37k|   0  2.00 |1991  1107 |0.55 0.16 0.06|  0   0  92|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:10|  4   2  93   0   0| 295M   22G 2096k  741M| 112k 8280 |   0    37k|   0  2.00 |3353  1793 |0.55 0.16 0.06|  0   0 154|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:11|  2   1  96   0   0| 295M   22G 2096k  741M|  59k 5594 |   0     0 |   0     0 |2266  1267 |0.55 0.16 0.06|1.0   0 106|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:12|  4   2  94   0   0| 295M   22G 2096k  741M| 115k 8436 |   0    47k|   0  2.00 |3561  1912 |0.55 0.16 0.06|  0   0 170|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:13|  4   3  93   0   0| 297M   22G 2096k  741M| 117k 9145 |   0    12M|   0   208 |3763  2384 |0.59 0.18 0.06|3.0   0 172|   0     0 |   0     0 |  3    1    0    5    0 
03-03 21:58:14|  2   1  95   0   0| 307M   22G 2096k  741M|  58k 4830 |   0    16M|   0   733 |2503  1804 |0.59 0.18 0.06|1.0   0  91|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:15|  5   3  93   0   0| 296M   22G 2096k  741M| 116k   10k|   0    33k|   0  2.00 |4370  2306 |0.59 0.18 0.06|  0   0 198|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:16|  5   2  93   0   0| 296M   22G 2096k  741M| 117k   11k|   0    68k|   0  4.00 |4086  2358 |0.59 0.18 0.06|1.0   0 200|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:17|  4   3  92   0   0| 294M   22G 2096k  741M| 129k   11k|   0    37k|   0  2.00 |4268  2365 |0.59 0.18 0.06|  0   0 211|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:18|  4   3  92   0   0| 294M   22G 2096k  741M| 159k   11k|   0   119k|   0  6.00 |4217  2428 |0.54 0.17 0.06|1.0   0 213|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:19|  5   3  92   0   0| 302M   22G 2096k  741M| 116k 9291 |   0    40k|   0  2.00 |4103  2188 |0.54 0.17 0.06|1.0   0 189|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:20|  3   2  95   0   0| 294M   22G 2096k  741M|  62k 7579 |   0    34k|   0  2.00 |2728  1530 |0.54 0.17 0.06|2.0   0 125|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:21|  5   2  93   0   0| 294M   22G 2096k  741M| 122k 8686 |   0    35k|   0  2.00 |3535  1899 |0.54 0.17 0.06|  0   0 164|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:22|  4   2  93   0   0| 293M   22G 2096k  741M| 120k 9732 |   0    32k|   0  2.00 |3824  2159 |0.54 0.17 0.06|  0   0 182|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:23|  2   2  96   0   0| 294M   22G 2096k  741M|  58k 5004 |   0  7816k|   0   387 |2243  1471 |0.49 0.17 0.06|  0   0  92|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:24|  9   2  89   0   0| 341M   22G 2096k  741M|  82k 4445 |   0   332k|   0  11.0 |2489  1374 |0.49 0.17 0.06|1.0   0  82|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:25| 12   1  87   0   0| 294M   22G 2096k  741M| 286   484 |   0  2735k|   0  23.0 |1185   304 |0.49 0.17 0.06|  0   0   0|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:26|  2   1  95   0   0| 295M   22G 2096k  741M| 116k 8421 |   0    32k|   0  2.00 |3200  1709 |0.49 0.17 0.06|  0   0 150|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:27|  4   2  93   0   0| 296M   22G 2096k  741M|  65k 7357 |   0    36k|   0  2.00 |3354  1896 |0.49 0.17 0.06|1.0   0 158|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:28|  5   2  93   0   0| 298M   22G 2096k  742M| 115k 7712 | 848k   32M|3.00   442 |3649  2012 |0.45 0.17 0.06|  0   0 137|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:29|  4   2  93   0   0| 296M   22G 2096k  742M|  60k 6733 |  76k  852k|1.00  28.0 |3324  1801 |0.45 0.17 0.06|  0   0 136|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:30|  8   2  89   0   0| 400M   22G 2096k  754M|  58k 3942 |  12M   38k| 124  2.00 |2788  1506 |0.45 0.17 0.06|1.0   0  83|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:31|  8   3  87   2   0| 459M   22G 2096k  809M|  52     0 |  20M  930k|1449  32.0 |4171  3402 |0.45 0.17 0.06|1.0   0 1.0|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:32|  1  12  87   0   0| 446M   22G 2096k  810M| 104    62 | 116k 4096B|4.00  1.00 |2248   442 |0.45 0.17 0.06|1.0   0 4.0|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:33|  0  12  88   0   0| 446M   22G 2096k  810M|  52     0 |   0  1072k|   0  7.00 |1550   300 |0.50 0.18 0.06|1.0   0   0|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:34|  6   4  90   0   0| 300M   22G 2096k  774M|  57k 4237 |4095B    0 |1.00     0 |3051  1260 |0.50 0.18 0.06|  0   0  78|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:35|  4   2  94   0   0| 300M   22G 2096k  774M| 100k 8737 |   0   722k|   0  24.0 |3650  1995 |0.50 0.18 0.06|  0   0 166|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:36|  4   2  94   0   0| 299M   22G 2096k  774M|  80k 7273 |   0    33k|   0  2.00 |3288  1711 |0.50 0.18 0.06|  0   0 144|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:37|  4   2  93   0   0| 299M   22G 2096k  774M| 120k 9166 |   0    40k|   0  2.00 |3655  1990 |0.50 0.18 0.06|  0   0 169|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:38|  2   1  97   0   0| 299M   22G 2096k  774M|  58k 4678 |   0    50k|   0  5.00 |2034  1159 |0.46 0.18 0.06|  0   0  92|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:39|  5   1  94   0   0| 327M   22G 2096k  774M| 158k 4776 |   0    41k|   0  2.00 |2234  1185 |0.46 0.18 0.06|1.0   0  86|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:40|  6   2  92   0   0| 299M   22G 2096k  774M|1280  7520 |   0     0 |   0     0 |1719  1005 |0.46 0.18 0.06|  0   0  50|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:41|  5   2  93   0   0| 329M   22G 2096k  774M| 158k 4842 |   0     0 |   0     0 |2276  1171 |0.46 0.18 0.06|1.0   0  86|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:42|  5   1  95   0   0| 353M   22G 2096k  774M| 104   174 |   0     0 |   0     0 | 661   342 |0.46 0.18 0.06|  0   0 2.0|   0     0 |   0     0 |  3    1    1    2    0 
03-03 21:58:43|  3   2  95   0   0| 309M   22G 2096k  774M|  59k 6423 |   0    42k|   0  2.00 |2637  1520 |0.50 0.19 0.07|1.0   0 126|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:44| 14   7  80   0   0| 364M   22G 2096k  774M| 104     0 |   0  9362k|   0   440 |2558   889 |0.50 0.19 0.07|8.0   0  11|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:45| 10   4  85   1   0| 404M   22G 2096k  778M|  52     0 |4619k    0 | 348     0 |3766  1660 |0.50 0.19 0.07|1.0   0  11|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:46|  9   2  88   1   0| 439M   22G 2096k  781M| 104     0 |6948k    0 | 802     0 |3484  3455 |0.50 0.19 0.07|1.0   0  14|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:47| 10   1  88   0   0| 491M   22G 2096k  781M|  52   174 |   0     0 |   0     0 |2366  2341 |0.50 0.19 0.07|  0   0  14|   0     0 |   0     0 |  3    1    1    2    0 
03-03 21:58:48|  5   2  93   0   0| 447M   22G 2096k  781M| 104   333 |  48k    0 |5.00     0 |2359  2487 |0.54 0.21 0.07|1.0   0  57|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:49| 12   2  86   0   0| 449M   22G 2096k  781M|  52     0 |   0     0 |   0     0 |3600  2962 |0.54 0.21 0.07|2.0   0  73|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:50| 11   2  86   0   0| 455M   22G 2096k  781M| 104     0 |  20k    0 |3.00     0 |3579  2786 |0.54 0.21 0.07|2.0   0  68|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:51| 11   1  87   0   0| 417M   22G 2096k  780M|  52     0 |4095B    0 |1.00     0 |2005  1121 |0.54 0.21 0.07|1.0   0  14|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:52| 12  10  77   1   0| 471M   22G 2096k  796M| 104     0 |  10M    0 | 931     0 |4704  2754 |0.54 0.21 0.07|1.0   0  13|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:53| 11   1  87   1   0| 517M   22G 2096k  801M| 152   100 |5683k   28k| 364  6.00 |2082  1348 |0.58 0.22 0.08|1.0 1.0 2.0|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:54| 11   1  86   1   0| 486M   22G 2096k  802M| 204   100 |1748k   39M| 205   702 |2534  1939 |0.58 0.22 0.08|1.0   0 2.0|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:55| 11   1  87   0   0| 535M   22G 2096k  804M| 152   100 |1796k    0 | 177     0 |1631   847 |0.58 0.22 0.08|1.0   0   0|   0     0 |   0     0 |  3    1    0    2    0 
03-03 21:58:56|  8   1  90   1   0| 570M   22G 2096k  807M|1081   977 |4012k    0 | 472     0 |2023  1475 |0.58 0.22 0.08|1.0   0 1.0|   0     0 |   0     0 |  4    1    0    3    0 
03-03 21:58:57| 13   0  87   0   0| 559M   22G 2096k  808M|  52     0 |   0     0 |   0     0 |1288   445 |0.58 0.22 0.08|1.0   0   0|   0     0 |   0     0 |  4    1    0    3    0 
03-03 21:58:58| 12   0  87   0   0| 567M   22G 2096k  808M| 104     0 |  84k    0 |2.00     0 |1570   632 |0.61 0.23 0.09|1.0   0 8.0|   0     0 |   0     0 |  4    1    0    3    0 
03-03 21:58:59| 12   0  87   0   0| 566M   22G 2096k  808M|  52   666 |   0  8424k|   0   412 |1923  1055 |0.61 0.23 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    3    0 
03-03 21:59:00| 11   2  87   0   0| 579M   22G 2096k  808M| 194   380 |   0   838k|   0  27.0 |1690   655 |0.61 0.23 0.09|1.0   0 1.0|   0     0 |   0     0 |  4    1    0    3    0 
03-03 21:59:01| 12   1  87   0   0| 565M   22G 2096k  808M| 142  1201 |   0    16k|   0  2.00 |1882   765 |0.61 0.23 0.09|1.0   0 8.0|   0     0 |   0     0 |  4    1    0    3    0 
03-03 21:59:02| 12   0  87   0   0| 568M   22G 2096k  808M| 194     0 |   0     0 |   0     0 |1315   350 |0.61 0.23 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    3    0 
03-03 21:59:03| 12   0  87   0   0| 569M   22G 2096k  808M| 142   200 |  28k    0 |1.00     0 |1492   562 |0.64 0.25 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    1    0 
03-03 21:59:04| 12   0  87   0   0| 585M   22G 2096k  810M|1708k 1708k|  12k    0 |2.00     0 |1246   291 |0.64 0.25 0.09|1.0   0 4.0|   0     0 |   0     0 |  4    3    0    1    0 
03-03 21:59:05| 13   0  88   0   0| 588M   22G 2096k  810M|  94   399 |   0     0 |   0     0 |1091    85 |0.64 0.25 0.09|1.0   0   0|   0     0 |   0     0 |  4    3    0    1    0 
03-03 21:59:06| 12   0  87   0   0| 588M   22G 2096k  810M| 104     0 |   0     0 |   0     0 |1095   105 |0.64 0.25 0.09|1.0   0   0|   0     0 |   0     0 |  4    3    0    1    0 
03-03 21:59:07| 11   0  88   0   0| 588M   22G 2096k  811M|  14k   14k|8192B    0 |1.00     0 |1231   485 |0.64 0.25 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    4    0 
03-03 21:59:08|  3   0  98   0   0| 587M   22G 2096k  811M| 104    62 |   0     0 |   0     0 | 395   245 |0.59 0.24 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    4    0 
03-03 21:59:09|  3   0  97   0   0| 587M   22G 2096k  811M|  52   333 |   0     0 |   0     0 | 377   201 |0.59 0.24 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    4    0 
03-03 21:59:10|  3   0  97   0   0| 588M   22G 2096k  810M| 104     0 |   0     0 |   0     0 | 401   238 |0.59 0.24 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    4    0 
03-03 21:59:11|  2   0  98   0   0| 588M   22G 2096k  810M|  52     0 |  36k  419k|3.00  15.0 | 444   299 |0.59 0.24 0.09|1.0   0 2.0|   0     0 |   0     0 |  4    1    0    4    0 
03-03 21:59:12|  5   0  95   0   0| 588M   22G 2096k  810M|  27k   27k|   0     0 |   0     0 | 578   261 |0.59 0.24 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0    5    0 
03-03 21:59:13|  3   0  97   0   0| 588M   22G 2096k  810M| 228    42 |   0     0 |   0     0 | 473   270 |0.54 0.24 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0    5    0 
03-03 21:59:14|  1   0  98   0   0| 588M   22G 2096k  810M| 104     0 |   0  6144B|   0  1.00 | 307   247 |0.54 0.24 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    5    0 
03-03 21:59:15|  7   0  92   0   0| 589M   22G 2096k  810M|  52     0 |   0    14M|   0   729 |2205   888 |0.54 0.24 0.09|1.0   0 3.0|   0     0 |   0     0 |  4    1    0    5    0 
03-03 21:59:16|  2   0  98   0   0| 589M   22G 2096k  810M| 104    62 |   0     0 |   0     0 | 317   214 |0.54 0.24 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    5    0 
03-03 21:59:17|  4   0  96   0   0| 589M   22G 2096k  810M|  33k   33k|   0     0 |   0     0 | 586   296 |0.54 0.24 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    6    0 
03-03 21:59:18|  8   0  92   0   0| 589M   22G 2096k  811M| 104     0 |   0     0 |   0     0 | 943   379 |0.50 0.23 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0    6    0 
03-03 21:59:19|  6   0  94   0   0| 589M   22G 2096k  811M|  52     0 |   0     0 |   0     0 | 609   224 |0.50 0.23 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    6    0 
03-03 21:59:20| 12   0  88   0   0| 589M   22G 2096k  811M| 104     0 |   0     0 |   0     0 |1226   459 |0.50 0.23 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    6    0 
03-03 21:59:21| 12   0  88   0   0| 602M   22G 2096k  813M|  52     0 |   0     0 |   0     0 |1066   112 |0.50 0.23 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    6    0 
03-03 21:59:22| 12   0  87   0   0| 602M   22G 2096k  813M|  31k   31k|   0     0 |   0     0 |1205   306 |0.50 0.23 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    7    0 
03-03 21:59:23| 12   0  87   0   0| 603M   22G 2096k  813M|  52     0 |   0     0 |   0     0 |1204   328 |0.54 0.25 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    7    0 
03-03 21:59:24| 11   0  88   0   0| 604M   22G 2096k  813M| 104     0 |   0  1480k|   0  14.0 |1163   384 |0.54 0.25 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0    7    0 
03-03 21:59:25|  1   0  99   0   0| 601M   22G 2096k  813M|  52     0 |   0     0 |   0     0 | 218   164 |0.54 0.25 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    7    0 
03-03 21:59:26|  7   0  93   0   0| 604M   22G 2096k  813M| 104     0 |   0     0 |   0     0 | 715   208 |0.54 0.25 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0    7    0 
03-03 21:59:27|  5   0  95   0   0| 604M   22G 2096k  813M| 701   649 |   0     0 |   0     0 | 497   137 |0.54 0.25 0.09|1.0   0   0|   0     0 |   0     0 |  4    3    0    7    0 
03-03 21:59:28|  3   0  97   0   0| 604M   22G 2096k  813M|  13k   13k|   0     0 |   0     0 | 358   187 |0.50 0.24 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0    8    0 
03-03 21:59:29|  7   0  93   0   0| 604M   22G 2096k  813M|  52     0 |   0   748k|   0   150 | 873   308 |0.50 0.24 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0    8    0 
03-03 21:59:30|  2   0  98   0   0| 604M   22G 2096k  813M| 104     0 |   0     0 |   0     0 | 275   152 |0.50 0.24 0.09|1.0   0   0|   0     0 |   0     0 |  4    1    0    8    0 
03-03 21:59:31|  6   0  93   0   0| 602M   22G 2096k  813M|  52     0 |   0     0 |   0     0 | 699   239 |0.50 0.24 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0    8    0 
03-03 21:59:32|  1   0 100   0   0| 602M   22G 2096k  814M| 104   333 |   0     0 |   0     0 | 161   163 |0.50 0.24 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0    8    0 
03-03 21:59:33|  6   0  94   0   0| 605M   22G 2096k  814M|  10k   10k|   0     0 |   0     0 | 694   201 |0.54 0.25 0.10|1.0   0   0|   0     0 |   0     0 |  4    1    0    9    0 
03-03 21:59:34|  2   0  98   0   0| 605M   22G 2096k  814M| 104     0 |   0  6335k|   0   202 | 493   454 |0.54 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0    9    0 
03-03 21:59:35|  9   0  91   0   0| 605M   22G 2096k  814M|  52     0 |   0     0 |   0     0 | 963   266 |0.54 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0    9    0 
03-03 21:59:36|  1   0  99   0   0| 605M   22G 2096k  814M| 104     0 |   0     0 |   0     0 | 242   190 |0.54 0.25 0.10|1.0   0   0|   0     0 |   0     0 |  4    1    0    9    0 
03-03 21:59:37|  1   0  99   0   0| 605M   22G 2096k  814M|  52     0 |   0     0 |   0     0 | 203   170 |0.54 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0    9    0 
03-03 21:59:38|  2   0  98   0   0| 605M   22G 2096k  814M|  14k   14k|   0     0 |   0     0 | 340   247 |0.49 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   10    0 
03-03 21:59:39|  0   0 100   0   0| 605M   22G 2096k  814M|  52     0 |   0     0 |   0     0 | 169   155 |0.49 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   10    0 
03-03 21:59:40|  2   0  98   0   0| 605M   22G 2096k  814M| 104     0 |   0     0 |   0     0 | 291   142 |0.49 0.25 0.10|1.0   0   0|   0     0 |   0     0 |  4    1    0   10    0 
03-03 21:59:41|  9   0  91   0   0| 604M   22G 2096k  814M|  52     0 |   0     0 |   0     0 | 971   297 |0.49 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   10    0 
03-03 21:59:42|  1   0  99   0   0| 604M   22G 2096k  814M| 104     0 |   0     0 |   0     0 | 204   196 |0.49 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   10    0 
03-03 21:59:43|  1   0  98   0   0| 604M   22G 2096k  814M|  13k   13k|   0     0 |   0     0 | 319   252 |0.45 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   11    0 
03-03 21:59:44|  2   0  98   0   0| 604M   22G 2096k  814M| 104   333 |   0     0 |   0     0 | 380   270 |0.45 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   11    0 
03-03 21:59:45|  1   0  99   0   0| 604M   22G 2096k  814M|  52   110 |   0   407k|   0  25.0 | 248   268 |0.45 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   11    0 
03-03 21:59:46|  3   0  97   0   0| 604M   22G 2096k  814M| 104     0 |   0     0 |   0     0 | 359   202 |0.45 0.25 0.10|1.0   0   0|   0     0 |   0     0 |  4    1    0   11    0 
03-03 21:59:47|  8   0  91   0   0| 606M   22G 2096k  815M|  52     0 |   0     0 |   0     0 | 946   329 |0.45 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   11    0 
03-03 21:59:48|  2   0  98   0   0| 606M   22G 2096k  815M|  18k   18k|   0     0 |   0     0 | 339   240 |0.42 0.24 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   12    0 
03-03 21:59:49|  1   0  99   0   0| 606M   22G 2096k  815M|  94    42 |   0     0 |   0     0 | 257   194 |0.42 0.24 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   12    0 
03-03 21:59:50|  1   0  99   0   0| 607M   22G 2096k  815M| 104     0 |   0     0 |   0     0 | 261   211 |0.42 0.24 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   12    0 
03-03 21:59:51|  1   0 100   0   0| 607M   22G 2096k  815M|  52     0 |   0     0 |   0     0 | 164   154 |0.42 0.24 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   12    0 
03-03 21:59:52|  4   0  96   0   0| 607M   22G 2096k  815M| 104     0 |   0     0 |   0     0 | 409   178 |0.42 0.24 0.10|1.0   0   0|   0     0 |   0     0 |  4    1    0   12    0 
03-03 21:59:53|  8   0  92   0   0| 604M   22G 2096k  815M|  13k   13k|   0     0 |   0     0 | 879   306 |0.38 0.24 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0   13    0 
03-03 21:59:54|  1   0  99   0   0| 605M   22G 2096k  815M| 104     0 |   0     0 |   0     0 | 280   257 |0.38 0.24 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0   13    0 
03-03 21:59:55|  1   0  98   0   0| 605M   22G 2096k  815M|  52     0 |   0   348k|   0  66.0 | 343   286 |0.38 0.24 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0   13    0 
03-03 21:59:56|  1   0  99   0   0| 605M   22G 2096k  816M| 104     0 |   0     0 |   0     0 | 292   241 |0.38 0.24 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0   13    0 
03-03 21:59:57|  0   0  99   0   0| 605M   22G 2096k  816M|  52     0 |   0     0 |   0     0 | 180   192 |0.38 0.24 0.09|  0   0   0|   0     0 |   0     0 |  4    1    0   13    0 
03-03 21:59:58|  4   0  96   0   0| 605M   22G 2096k  816M|  14k   14k|   0     0 |   0     0 | 478   240 |0.43 0.25 0.10|1.0   0   0|   0     0 |   0     0 |  4    1    0   14    0 
03-03 21:59:59| 10   0  90   0   0| 605M   22G 2096k  816M|  52     0 |   0     0 |   0     0 | 992   291 |0.43 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   14    0 
03-03 22:00:00|  1   0  99   0   0| 605M   22G 2096k  816M| 104     0 |   0     0 |   0     0 | 243   192 |0.43 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   13    0 
03-03 22:00:01|  1   0  99   0   0| 605M   22G 2096k  816M|  52     0 |   0     0 |   0     0 | 265   201 |0.43 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   13    0 
03-03 22:00:02|  1   0  98   0   0| 605M   22G 2096k  816M| 104     0 |   0     0 |   0     0 | 266   218 |0.43 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   13    0 
03-03 22:00:03|  1   0  99   0   0| 605M   22G 2096k  816M|  20k   20k|   0     0 |   0     0 | 229   179 |0.40 0.25 0.10|  0   0   0|   0     0 |   0     0 |  4    1    0   14    0 
03-03 22:00:04|  3   0  97   0   0| 605M   22G 2096k  816M| 104     0 |   0     0 |   0     0 | 430   207 |0.40 0.25 0.10|1.0   0   0|   0     0 |   0     0 |  4    1    0   14    0 
