----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
     time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo 
03-03 21:52:01|  0   0  99   0   0| 386M   22G 2096k 1082M|1226k   14k|   0    50M|   0   175 | 537   577 |0.70 0.45 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:52:02|  0   0 100   0   0| 386M   22G 2096k 1084M|1204k   13k|   0     0 |   0     0 | 381   407 |0.70 0.45 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:52:03|  0   0  99   0   0| 386M   22G 2096k 1086M|2716k   28k|   0   844k|   0  37.0 | 701   816 |0.70 0.45 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0   10    0 
03-03 21:52:04|  0   0 100   0   0| 386M   22G 2096k 1087M| 646k 7400 |   0     0 |   0     0 | 242   230 |0.70 0.45 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0   10    0 
03-03 21:52:05|  0   0 100   0   0| 386M   22G 2096k 1088M|1038k   11k|   0     0 |   0     0 | 340   336 |0.70 0.45 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0   10    0 
03-03 21:52:06|  0   0 100   0   0| 387M   22G 2096k 1088M| 740k 8313 |   0    40k|   0  9.00 | 352   341 |0.64 0.44 0.18|  0   0 3.0|   0     0 |   0     0 |  2    4    0   10    0 
03-03 21:52:07|  0   0 100   0   0| 386M   22G 2096k 1089M| 206k 4352 |   0    30M|   0  59.0 | 447   237 |0.64 0.44 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    3    0 
03-03 21:52:08|  0   0 100   0   0| 386M   22G 2096k 1090M|1206k   12k|   0     0 |   0     0 | 331   357 |0.64 0.44 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    3    0 
03-03 21:52:09|  0   0 100   0   0| 386M   22G 2096k 1091M|1411k   15k|   0     0 |   0     0 | 369   423 |0.64 0.44 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    3    0 
03-03 21:52:10|  0   0 100   0   0| 386M   22G 2096k 1092M| 606k 7650 |   0     0 |   0     0 | 606   273 |0.64 0.44 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    3    0 
03-03 21:52:11|  0   0 100   0   0| 386M   22G 2096k 1094M|2383k   24k|   0     0 |   0     0 | 551   672 |0.59 0.43 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:12|  1   0  99   0   0| 386M   22G 2096k 1101M|6916k   66k|   0    25M|   0  35.0 |1369  1816 |0.59 0.43 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:13|  0   0 100   0   0| 386M   22G 2096k 1103M|2726k   28k|   0     0 |   0     0 | 611   810 |0.59 0.43 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:14|  0   0 100   0   0| 386M   22G 2096k 1104M| 919k   11k|   0     0 |   0     0 | 289   296 |0.59 0.43 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:15|  0   0 100   0   0| 386M   22G 2096k 1104M| 415k 6063 |   0     0 |   0     0 | 223   181 |0.59 0.43 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:16|  0   0 100   0   0| 386M   22G 2096k 1107M|2678k   30k|   0     0 |   0     0 | 690   771 |0.54 0.43 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:17|  0   0  99   0   0| 386M   22G 2096k 1109M|1829k   22k|   0    36M|   0  50.0 | 637   596 |0.54 0.43 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:18|  1   0  99   0   0| 386M   22G 2096k 1113M|5057k   52k|   0     0 |   0     0 |1027  1407 |0.54 0.43 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:19|  1   0 100   0   0| 387M   22G 2096k 1116M|3145k   33k|   0     0 |   0     0 | 648   882 |0.54 0.43 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:20|  0   0 100   0   0| 386M   22G 2096k 1117M| 730k 9127 |   0     0 |   0     0 | 287   267 |0.54 0.43 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
